lista_id;siglas;nombre;observaciones
3007;UNIDAD                                            ;UNIDAD                                                                                              ;
3008;R.ALFONSIN                                        ;RAUL ALFONSIN                                                                                       ;
3009;ROJA Y BLAN                                       ;ROJA Y BLANCA                                                                                       ;
3010;RENOVACION                                        ;RENOVACION                                                                                          ;
3011;ROJA A. P.                                        ;ROJA - AMIGOS DEL PUEBLO                                                                            ;
3012;P. A. S.                                          ;P. A. S.                                                                                            ;
3013;L. F. P. F                                        ;LISTA FRENTE POPULAR "F"                                                                            ;
3014;L. A. P. P                                        ;LISTA AFILIADOS DEL PICH "P"                                                                        ;
3015;L. O. C. A                                        ;LISTA OPCION AL CAMBIO "A"                                                                          ;
3016;L.M.R.CH. B                                       ;LISTA MOV. DE RECUPERACION CHUBUTENSES "B"                                                          ;
3017;I.R.  L-I                                         ;IDENTIDAD RADICAL - LISTA I                                                                         ;
3018;F.R. L-A                                          ;FUERZA RENOVADORA - LISTA A                                                                         ;
3019;E.A. L-B                                          ;ESPACIO ABIERTO - LISTA B                                                                           ;
3020;M-RyB L-N                                         ;MORENA-ROJA Y BLANCA - LISTA N                                                                      ;
3021;I. L-R                                            ;INTRANSIGENCIA - LISTA R                                                                            ;
3022;D.C. L-E                                          ;DIPUTADOS AL CONGRESO - LISTA E                                                                     ;
3023;LISTA2 CB K                                       ;LISTA 2 CELESTE Y BLANCA K                                                                          ;
3024;LISTA1 PMP                                        ;LISTA 1 PRIMERO MI PROVINCIA C                                                                      ;
3025;ENT. POP.                                         ;ENTENDIMIENTO POPULAR                                                                               ;
3026;SAB Y POD                                         ;SABEMOS Y PODEMOS                                                                                   ;
3027;J LA PAMPA                                        ;JUNTOS POR LA PAMPA                                                                                 ;
3028;INTEGRACION                                       ;INTEGRACION                                                                                         ;
3029;REN Y CAMB                                        ;RENOVACION Y CAMBIO                                                                                 ;
3030;MOV REN AMP                                       ;MOVIMIENTO RENOVADOR AMPLIO                                                                         ;
3031;A 3.1                                             ;A 3.1-LISTA B-LI.DE.RA.                                                                             ;
3032;A 3.2                                             ;A 3.2-LISTA C- LEGISLAR POR LA VIDA                                                                 ;
3033;A 3.3                                             ;A 3.3-LISTA D-CONVICCION REPUBLICANA                                                                ;
3034;A 3.4                                             ;A 3.4-LISTA E- UN COMPROMISO RESPONSABLE                                                            ;
3035;A3.2 LRBCP                                        ;A 3.2-LISTA ROJA Y BLANCA COAL.PROGR.                                                               ;
3036;B 3.1 MDS                                         ;B 3.1-MOV. POR LA DEMOCRACIA SOCIAL                                                                 ;
3037;PPM                                               ;POR UN PAIS MEJOR                                                                                   ;
3038;CPOP                                              ;CANTERA POPULAR                                                                                     ;
3039;L C P                                             ;LOS CORRELIGIONARIOS PRIMERO                                                                        ;
3040;L R Y B                                           ;A-LISTA ROJA Y BLANCA                                                                               ;
3041;L M C Y P                                         ;B-LISTA MILITANCIA COMPROMISO Y PARTICIPACION                                                       ;
3042;L 2 C Y B K                                       ;A-LISTA 2 CELESTE Y BLANCA K                                                                        ;
3043;L A P C P                                         ;B-LISTA AZUL PERONISMO CAUSA POPULAR                                                                ;
3044;R Y B                                             ;A-ROJA Y BLANCA                                                                                     ;
3045;M P S L                                           ;B-MORENA PARA SAN LUIS                                                                              ;
3046;C Y B                                             ;2-CELESTE Y BLANCA                                                                                  ;
3047;R P                                               ;ROJO PUNZO                                                                                          ;
3048;A. CH. L-A                                        ;ACCION CHAQUEÑA - LISTA A                                                                           ;
3049;P P DE LA R                                       ;PARTIDO POPULAR DE LA RECONSTRUCCION-LISTA A                                                        ;
3050;P N C-UNIR                                        ;PARTIDO NACIONALISTA CONSTITUCIONAL-UNIR- LISTA A                                                   ;
3051;MUD LISTA A                                       ;MUD - LISTA A                                                                                       ;
3052;C GENTE                                           ;LISTA A - COMPROMETIDOS CON LA GENTE                                                                ;
3053;G FUTURO                                          ;LISTA B - GANEMOS EL FUTURO                                                                         ;
3054;CH S Y P                                          ;LISTA C - POR UN CHACO SEGURO Y PRODUCTIVO                                                          ;
3055;L Y I                                             ;LISTA D - POR LA LIBERTAD Y LA IGUALDAD                                                             ;
3056;P Y J                                             ;LISTA E - PROGRESO Y JUSTICIA                                                                       ;
3057;U N A                                             ;LISTA F - UNA NUEVA ARGENTINA                                                                       ;
3058;C R                                               ;LISTA G - CAMBIO REAL                                                                               ;
3059;L ROJA Y BLANCA I. P.                             ;LISTA ROJA Y BLANCA - INTEGRACION POPULAR                                                           ;
3060;L ROJA Y BLANCA R. P.                             ;LISTA ROJA Y BLANCA - RENOVACION PROGRESISTA                                                        ;
3061;M.POP.                                            ;LISTA D-MILITANCIA POPULAR                                                                          ;
3062;CAT. POP.                                         ;LISTA A-CATAMARCA POPULAR                                                                           ;
3063;AZUL Y ROJA                                       ;LISTA B-AZUL Y ROJA                                                                                 ;
3064;BLANCA                                            ;LISTA B-BLANCA                                                                                      ;
3065;COLOR ROJO                                        ;LISTA C-COLOR ROJO                                                                                  ;
3066;ROJA Y BLAN                                       ;LISTA R-ROJA Y BLANCA                                                                               ;
3067;RENOV. REPUBLICANA                                ;A-RENOVACION REPUBLICANA                                                                            ;
3068;CAPAC. Y GRANDEZA                                 ;B-CAPACIDAD Y GRANDEZA                                                                              ;
3069;MI.RA                                             ;LISTA B-MILITANTES DE LA REPUBLICA ARGENTINA MI.RA                                                  ;
3070;R.R.C.                                            ;LISTA C-RENOVACION RADICAL POR CATAMARCA                                                            ;
3100;ISHII GOB. N678                                   ;ISHII GOBERNADOR N 678                                                                              ;
3101;L2 CEL. Y BLANCA K N 2                            ;LISTA 2 CELESTE Y BLANCA K N 2                                                                      ;
3102;FTE. POP. GOB.                                    ;FRENTE POPULAR GOBERNADOR                                                                           ;
3103;LISTA A                                           ;LISTA A                                                                                             ;
3104;LISTA V                                           ;LISTA V                                                                                             ;
3105;ES POSIBLE                                        ;ES POSIBLE                                                                                          ;
3106;ES POSIBLE BS AS                                  ;ES POSIBLE BS AS                                                                                    ;
3107;LA MATANZA 4                                      ;LA MATANZA 4                                                                                        ;
3108;LA PLATA D                                        ;LA PLATA D                                                                                          ;
3109;LISTA C                                           ;LISTA C                                                                                             ;
3110;LISTA D                                           ;LISTA D                                                                                             ;
3111;BLANCO                                            ;BLANCO                                                                                              ;
3112;CELESTE                                           ;CELESTE                                                                                             ;
9997;OTROS                                             ;OTROS                                                                                               ;
